location,x,y,z,lat,long,height
clearingNorth_east,477716.463666667,5632446.09833333,243.328666666667,50.8433,8.6835,291.397833333333
clearingNorth_west,477707.5285,5632444.164,244.2965,50.8433,8.6834,292.365666666667
climate,477690.868,5632138.99566667,258.832666666667,50.8405,8.6832,306.902
conifersWest,477845.839,5632102.21775,260.85425,50.8402,8.6854,308.92375
gatterEast,477825.437666667,5632261.02333333,269.988666666667,50.8416,8.6851,318.057666666667
gatterWest,477822.1985,5632258.668,270.18275,50.8416,8.685,318.25225
gwContainer,477666.523,5632110.65375,262.434,50.8403,8.6828,310.50325
gwHochsitz,477689.88,5632065.39322222,266.009111111111,50.8399,8.6831,314.078333333333
gwNorth,477683.7692,5632272.0962,249.6708,50.8417,8.683,297.7402
pathSouth,477768.450333333,5632008.86266667,277.632333333333,50.8394,8.6843,325.701333333333
southEastOfHochsitz,477749.0548,5632029.8234,273.4752,50.8395,8.684,321.5446
southOfHochsitz,477687.462666667,5632024.84,270.954666666667,50.8395,8.6831,319.024333333333
